5550944,flat,Kreuzlingen,8280,17,TG,Reutistrasse 9/9a, 11/11a,3.5,0,89,2020,<NA>,9.19774,47.64034,0.32266795457821845,1590,155,1745;
5713418,house,Melide,6815,51,TI,Via Lungolago Giuseppe Motta, 20,<NA>,<NA>,140,<NA>,<NA>,8.94308,45.95127,0.6415406153321588,<NA>,<NA>,1850;
5431144,flat,Rovio,6821,51,TI,Via S. Gottardo 83 , Balerna,1.5,-1,<NA>,<NA>,<NA>,9.00579,45.85094,2.88189609740794,590,80,670;
5551299,flat,Pregassona,6963,51,TI,Via Ceresio 3D/E - 5B/C, Pregassona 6963,1.0,<NA>,25,<NA>,<NA>,8.97288,46.01773,2.4258303652856226,600,90,690;
5573414,flat,Chiasso,6830,55,TI,Via Odescalchi 12- 18 , Chiasso,1.5,<NA>,<NA>,<NA>,<NA>,9.03614,45.83398,0.4156714919044445,600,95,695;
5427196,flat,Ascona,6612,44,TI,via Locarno 10, Ascona,1.0,<NA>,20,<NA>,<NA>,8.77485,46.1631,0.7476482934818909,700,80,780;
5523717,flat,Balerna,6828,55,TI,Via Monte Generoso 2, Balerna,2.5,2,<NA>,<NA>,<NA>,9.00327,45.8521,3.110425245207675,700,100,800;
5687146,flat,Lugano,6900,51,TI,Via Curti 6, Lugano,1.5,1,<NA>,<NA>,<NA>,8.95519,46.00905,0.753748804936369,710,90,800;
5345233,flat,Chiasso,6830,55,TI,Via Odescalchi 12, Chiasso,2.5,<NA>,<NA>,<NA>,<NA>,9.03614,45.83398,0.4156714919044445,720,130,850;
5702737,flat,Morbio Inferiore,6834,55,TI,Via Cereghetti, 8,2.0,3,58,<NA>,<NA>,9.01663,45.85227,2.512191527251797,800,160,960;
5404606,flat,Chiasso,6830,55,TI,Via Favre 7, Chiasso,3.5,7,<NA>,<NA>,<NA>,9.03372,45.82991,0.3080482576535059,770,200,970;
5572931,flat,Chiasso,6830,55,TI,Via Odescalchi 12, Chiasso,3.5,<NA>,<NA>,<NA>,<NA>,9.03614,45.83398,0.4156714919044445,820,170,990;
5404635,flat,Balerna,6828,55,TI,Via San Gottardo 83, Balerna,2.5,3,<NA>,<NA>,<NA>,9.00579,45.85094,2.88189609740794,850,190,1040;
5427216,flat,Ponte Tresa,6988,51,TI,Via Monte Oliveto 5, Ponte Tresa 6988,2.5,0,53,<NA>,<NA>,8.86026,45.97105,0.11859891724139143,900,150,1050;
5709316,flat,Bellinzona,6500,14,TI,Via Ripari Tondi 10 , Bellinzona,1.5,1,<NA>,<NA>,<NA>,9.03496,46.20845,7.113916064177989,<NA>,<NA>,1070;
5537280,flat,Cadenazzo,6593,14,TI,Via ai Boschi 17, Canobbio,2.5,2,<NA>,<NA>,<NA>,8.94825,46.14915,2.343243652427975,980,100,1080;
5404614,flat,Chiasso,6830,55,TI,Via Favre 7 , Chiasso,3.5,0,<NA>,<NA>,<NA>,9.03372,45.82991,0.3080482576535059,900,200,1100;
5427188,flat,Chiasso,6830,55,TI,Via ai Crotti 1, Chiasso,2.5,6,<NA>,<NA>,2013,9.02604,45.83304,0.4293673068917891,1050,80,1130;
5709208,flat,Lugano,6900,51,TI,Via Bagutti 26 , Lugano,2.5,1,<NA>,<NA>,<NA>,8.95704,46.01671,1.4730375383694077,990,140,1130;
5489973,flat,Chiasso,6830,55,TI,Via Odescalchi 12, Chiasso,4.5,<NA>,<NA>,<NA>,<NA>,9.03614,45.83398,0.4156714919044445,980,220,1200;
5421892,flat,Vacallo,6833,55,TI,Via Bellinzona 8, Vacallo,2.0,<NA>,<NA>,<NA>,<NA>,9.02663,45.84159,1.111205086258976,1030,180,1210;
5693680,flat,Lugano,6900,51,TI,Via Madonnetta, 15,2.5,<NA>,<NA>,<NA>,2018,8.95719,46.01178,1.0593101383014165,1250,<NA>,1250;
5445390,flat,Massagno,6900,51,TI,Via Lepori 16, 18,2.5,<NA>,48,2020,<NA>,8.94553,46.0101,0.5214684323898073,1135,125,1260;
5506471,flat,Morbio Inferiore,6834,55,TI,Via Cereghetti, 8,3.5,1,96,<NA>,<NA>,9.01663,45.85227,2.512191527251797,1050,220,1270;
5427207,flat,Chiasso,6830,55,TI,via ai Crotti 1, Chiasso,3.5,7,<NA>,<NA>,<NA>,9.02604,45.83304,0.4293673068917891,1200,100,1300;
5426956,flat,Lamone,6814,51,TI,Via alla Chiesa 18, Lamone 6814,3.5,1,<NA>,<NA>,<NA>,8.92831,46.0437,0.5315647522207245,1075,250,1325;
5645248,flat,Pregassona,6963,51,TI,Via Ceresio 5C, Pregassona 6963,3.5,2,85,<NA>,<NA>,8.9725,46.01757,2.3915476489469714,1150,200,1350;
5449454,flat,Massagno,6900,51,TI,Via Lepori 16, 18,1.5,<NA>,48,2020,<NA>,8.94553,46.0101,0.5214684323898073,1250,120,1370;
5132455,flat,Viganello,6962,51,TI,Via Guggirolo 2, Viganello,3.0,4,<NA>,<NA>,<NA>,8.9675,46.01189,1.7442689442896098,210,1180,1390;
5673816,flat,Lugano,6900,51,TI,Via delle scuole 10, cassarate,2.5,5,68,<NA>,<NA>,8.95941,46.00853,1.017482312913434,<NA>,<NA>,1390;
5580576,flat,Canobbio,6952,51,TI,via Circonvallazione 8, Canobbio,3.5,3,<NA>,<NA>,<NA>,8.96316,46.03528,2.446928328847317,1250,150,1400;
5612928,flat,Viganello,6962,51,TI,Via agli Orti 8, Viganello,3.5,2,<NA>,<NA>,<NA>,8.96172,46.01062,1.2802293213180382,1200,200,1400;
4387271,flat,Minusio,6648,44,TI,Via R. Simen, 79,4.5,2,<NA>,<NA>,<NA>,8.82017,46.17929,1.6376233161961662,1220,200,1420;
5427200,flat,Ascona,6612,44,TI,Via Borgo 30, Ascona,3.5,3,<NA>,<NA>,<NA>,8.76761,46.15608,1.6847927449569124,1220,220,1440;
5431899,flat,Bioggio,6934,51,TI,Via della Posta 16 , Bioggio,2.5,0,82,<NA>,<NA>,8.90649,46.01284,0.20224233797913357,1390,100,1490;
5437833,flat,Lugano,6900,51,TI,Via Giacomo Brentani 3a ,Molino Nuovo,3.5,<NA>,<NA>,<NA>,<NA>,8.95865,46.01931,1.7846772757427034,1240,250,1490;
4907036,flat,Vacallo,6833,55,TI,Via BELLINZONA 8 , VACALLO,3.5,7,97,<NA>,<NA>,9.02663,45.84159,1.111205086258976,1320,180,1500;
5072812,flat,Minusio,6648,44,TI,Via Mezzaro 20, 6648 Minusio,3.5,1,85,2010,<NA>,8.81632,46.17618,1.2256108553720448,1400,100,1500;
5427224,flat,Massagno,6900,51,TI,Sentiero Vinorum 3 3, Massagno,3.5,1,<NA>,<NA>,<NA>,8.94649,46.01343,0.8819156656451128,1400,200,1600;
5427206,flat,Gentilino,6925,51,TI,Via alle Cave 19, Gentilino,3.5,3,<NA>,<NA>,<NA>,8.93084,45.99291,0.4753371665165504,1500,200,1700;
5515900,house,Orbe,1350,19,VD,Ch, des Philosophes 2a,2.5,<NA>,65,2017,<NA>,6.53019,46.7213,0.21317660077201622,1620,80,1700;
5717421,house,Maracon,1613,19,VD,Rte de Semsales 12, 1623 Maracon,6.5,<NA>,155,2019,<NA>,6.87239,46.54903,2.812703009359225,2600,350,2950;
